5
x1;1;2;3;4;5;6;7;8
x2;1;2;3;4;5;6;7;8
x3;1;2;3;4;5;6;7;8
x4;1;2;3;4;5;6;7;8
x5;1;2;3;4;5;6;7;8
7
ext
x1;x4
21
3;1
1;7
5;8
8;3
2;8
5;1
8;5
2;7
4;8
5;7
1;5
1;6
6;6
1;8
3;2
3;3
8;1
6;7
6;5
8;4
3;4
ext
x2;x3
21
3;7
2;7
5;6
4;2
4;4
4;3
4;8
2;8
6;4
7;3
4;5
7;8
1;4
8;7
1;6
6;7
8;4
5;3
3;2
2;6
1;3
ext
x1;x2
21
3;5
7;7
8;6
5;6
7;2
2;3
8;7
3;6
8;4
5;8
7;3
5;5
3;4
1;2
2;4
6;5
2;7
4;4
5;1
2;8
6;1
ext
x3;x5
21
4;2
6;5
8;8
5;1
7;3
1;1
5;2
7;4
2;5
1;3
4;8
8;6
7;1
4;6
4;5
2;7
7;6
6;4
1;6
3;2
5;5
ext
x2;x5
21
2;1
4;3
7;5
7;7
3;3
7;8
2;6
7;1
5;8
6;1
6;2
4;7
3;6
4;4
3;2
3;8
5;7
1;5
3;7
2;2
7;6
ext
x3;x4
21
8;5
6;2
3;8
5;7
8;6
7;2
4;8
6;1
1;8
6;4
7;6
3;4
4;2
1;6
1;7
2;3
1;3
7;8
1;2
2;1
5;2
ext
x2;x4
21
8;2
4;5
3;1
7;7
7;1
2;4
8;6
8;5
3;3
2;3
8;1
7;5
4;8
1;1
1;3
5;4
7;2
6;6
5;5
3;6
4;3
